business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
G5ERFWvPfHy7IDAUYlWL2A,All Colors Mobile Bumper Repair,,7137 N 28th Ave,Phoenix,AZ,85051,33.4483771,-112.0740373,1.0,4,1,Auto Detailing;Automotive
0jDvRJS-z9zdMgOUXgr6rA,Sunfare,,811 W Deer Valley Rd,Phoenix,AZ,85027,33.6834068,-112.0847655,5.0,27,1,Personal Chefs;Food;Gluten-Free;Food Delivery Services;Event Planning & Services;Restaurants
6HmDqeNNZtHMK0t2glF_gg,Dry Clean Vegas,Southeast,"2550 Windmill Ln, Ste 100",Las Vegas,NV,89123,36.0422726,-115.1182508,1.0,4,1,Dry Cleaning & Laundry;Laundry Services;Local Services;Dry Cleaning
pbt3SBcEmxCfZPdnmU9tNA,The Cuyahoga Room,,740 Munroe Falls Ave,Cuyahoga Falls,OH,44221,41.139963,-81.4718843,1.0,3,0,Wedding Planning;Caterers;Event Planning & Services;Venues & Event Spaces
CX8pfLn7Bk9o2-8yDMp_2w,The UPS Store,,"4815 E Carefree Hwy, Ste 108",Cave Creek,AZ,85331,33.7976036,-111.9770795,1.5,5,1,Notaries;Printing Services;Local Services;Shipping Centers
yzAB_pRwk8FJl3aILiiySA,CenturyLink,Spring Valley,"4850 S Fort Apache Rd, Ste 100",Las Vegas,NV,89147,36.10096825,-115.2972582,1.5,35,0,Home Services;Television Service Providers;Professional Services;Internet Service Providers;Utilities
p8keQs0xw0TzP0JjYPiZPQ,The Enfield Fox,,285 Enfield Place,Mississauga,ON,L5B 3Y6,43.5905942,-79.6360974,1.5,3,0,Bars;Restaurants;Pubs;British;Nightlife
lbxfIXUNUdSRO2t7z2PxPA,Budget Car Rental,,"7125 E Shea Blvd, Ste 101",Scottsdale,AZ,85254,33.5809324,-111.9277257,2.0,6,1,Hotels & Travel;Car Rental
xxCrRqqICzQyR0Q-iqCrNw,Subway,Plaza Midwood,1300 The Plz,Charlotte,NC,28205,35.22063355,-80.81021763,2.0,13,1,Fast Food;Sandwiches;Restaurants
WdQP8kl9SzcOdubWz0Rs5g,Red Beard Bodywork And Structural Integration,Capitol,301 S Bedford St,Madison,WI,53703,43.0664939,-89.3889032,5.0,10,1,Rolfing;Health & Medical;Beauty & Spas;Massage
g6KfICYxIFoXnz7KHzQDpw,Chase Bank,,705 S Green Valley Pkwy,Henderson,NV,89052,36.002535,-115.083742,2.0,6,1,Financial Services;Banks & Credit Unions
Lhtl6hEr4BaAR4aA3RQDNQ,Dairy Queen,,475 W Craig Rd,North Las Vegas,NV,89032,36.2391919,-115.1480144,2.0,57,1,Food;Ice Cream & Frozen Yogurt
