title,salary,company,posted,district,job_description,Career Level,Years of Experience,Company Website,Qualification,Job Type,Job Functions,url
Data Scientist,salary,Connexe Search Limited,2022-12-06,Kowloon Bay,"Our client is one of the leading financial institutions. They are now recruiting a talent to join their Data Science team. 
Responsibilities:
Understand business needs and collect user requirement
Conduct data mining, cleaning, and analysis to support business objectives
Implement data visualization and dashboard to interpret the analysis results
Develop machine learning algorithm  
Conduct ad-hoc data analysis
Requirement:
Degree in Computer Science, Quantitative Science, Data Management, Business Analysis or related disciplines
At least 5 years’ experience in data science, modelling and some scripting
Familiar with business visualization tools (e.g., PowerBI or Tableau)
Proficiency in python or other coding language, like R, Scala and Spark
Knowledge of cloud data analysis tools or machine learning is a plus
Strong analytical, business acumen, problem-solving and inter-personal skills
Strong sense of data security and data governance
Good command of written and spoken English and Chinese
All information collected will be kept in strict confidence and will only be used for recruitment purpose. Only shortlisted candidates will be notified.",,,,,Contract,"Banking / Finance, Others, Information Technology (IT), Others, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-scientist-100003009911207?jobId=jobsdb-hk-job-100003009911207&sectionRank=1&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Data Analyst (Data & AI),salary,NCSI (HK) Limited,2022-12-06,Tai Koo,"Key Role Responsibilities:

Participate in client working sessions to discover and understand business strategy and objectives, Data & AI landscape, challenges, and prioritize & refine use cases.
Working with Solution Architects in other parts of NCS and our Data & AI partners to design the latest Data & AI offerings and produce technical proposals.
As a Team Member to deliver Data Visualization, Data Analytics and Modern Data Platform projects for clients.


Skill & Capability Requirements:

Passionate about the development and delivery of Data & AI solutions
Egar to learn and develop capabilities in Data & AI domain
1-3 years of experiences in data analytics delivery
Hands-on experience on Data Visualization tools, e.g. PowerBI, Tableau
Knowledge in one or more Data & AI tools available in Market, e.g. PowerBI, Tableau, Azure Data Factory, Azure Synapse, Cloudera, Databricks, H2O.ai
Communication and presentation skills
Bachelor’s degree in Statistics, Data Science, Computer Science, Computer Engineering, Informaion System, Business or other relevant fields, or an equivalent combination of education and relevant experience
Consulting experience would be an advantage but not essential",,,http://www.ncs-i.com,,"Full Time, Permanent","Information Technology (IT), Product Management / Business Analyst, Technical / Functional Consulting, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-data-ai-100003009913314?jobId=jobsdb-hk-job-100003009913314&sectionRank=2&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Data Analyst (Data Governance),salary,Gientech Technology (Hong Kong) Limited,2022-12-06,Ngau Tau Kok,"Duties:
Manage & support data governance model and framework
Assist on development of data dictionary, business glossary on critical data elements
Collaborate with various teams to implement data quality standards, data protection standards and adoption requirements
Prepare training material to demonstrate to key stakeholders
Requirement:
Degree or above
Min. 3 yrs' experience in data management/governance/analytics in financial services/Fintech related industries
Experience in establishing/monitoring data governance framework
Knowledge/experience using Axon, EDC, IDQ, etc. (advantage)
High proficiency in database, data management, analytics, MS Office, SQL, and other big data analytics tools
Excellent communication & negotiation skills
Fluency in English and Chinese",Middle,3 years,,Degree,"Full Time, Permanent","Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-data-governance-100003009910791?jobId=jobsdb-hk-job-100003009910791&sectionRank=3&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Solution Analyst - ICC - Data Integration,salary,Cathay Pacific Airways Ltd,2022-12-06,Lantau Island,"Reports to: Solution Lead / Senior Solution Lead
Department: Information Technology (IMT)
Role Introduction
Solution Analyst is responsible for building reliable, secure and highly-scalable IT systems for complex business problems by understanding and translating user needs into business and technical requirements and collaborating with crucial stakeholders to design, develop, test, integrate and implement these solutions.
Key Responsibilities
Collaborate with business users, internal technology teams and external vendors to identify fit-for-purpose, reliable, secure and highly-scalable IT solutions to complex business problems
Analyze and translate user needs into business and technical requirements, design, develop and ensure smooth implementation through collaboration with business and IT stakeholders
Participate in Scrum activities as Subject Matter Expert to identify and understand business processes, available technology solutions and their configuration and management to provide seamless, integrated solutions
Contribute towards complete software development lifecycle of system implementation projects, including requirements elicitation and prioritization, systems design and development, test documentation and execution, implementation and operational support
Work independently during programme and project execution to ensure successful, on-time delivery by anticipating dependencies and impediments, prioritizing multiple stakeholders and tasks, making trade-offs between business needs and constraints and managing work time efficiently
Facilitate collaboration with cross-functional stakeholders through clear communication and documentation
Participate in change management efforts, including stakeholder process analysis, workshop facilitation, mass communications, training and presentations
Plan, prioritize and deliver systems enhancements and bug fixes
Provide Level 2 and 3 support, troubleshoot production systems and services
Develop proactive monitoring and diagnosis tools to ensure solution SLAs are maintained
Participate in vendor solution selections, make recommendations that align with business needs and company’s technology roadmap, standards and practices
Support continuous improvement of standard corporate IT Practices
Keep abreast of latest trends in technology, industry and corresponding business domain
Collaborate with other IT domains to drive innovation
Requirements
Minimum 4 years of related IT experience across entire software development lifecycle for delivery of complex software solutions (less years of experience will be considered for junior position)
Bachelor’s (or equivalent education qualifications) in Computer Science, Computer Engineering, or related disciplines
Strong knowledge in security and compliance practices and technologies
Advanced expertise in software development methodologies – Design Thinking, Agile and DevOps is beneficial
Strong understanding of current technology concepts, trends and capabilities
Experience with tools and technologies (data integration/ETL, reporting, metadata management, data quality management etc.), preferably using INFORMATICA tools and technologies, Test Data management and Managed Files Transfer
Strong in database concepts and competence in SQL query and optimization
Strong understanding of data model and database structure to be able to perform data discovery from IT systems
Knowledge in Linux environment and scripting is beneficial
Good understanding and skill in cloud components and services for development
Well-developed analytical, problem-solving, and decision-making skills, leveraging both logic and creativity
Strong troubleshooting skills; ability to identify patterns and generate ideas
Well organized, thrive in a sense-of-urgency environment, leverage best practices, and most importantly, innovate through any problem with a can-do attitude
Experience in collaborating with multiple cross-functional and geographically dispersed teams
Ability to interact professionally with diverse groups of stakeholders
Excellent interpersonal and communication skills, strong verbal and written presentation skills
Airline knowledge is beneficial 
Application Deadline: 18 Dec 2022
Personal & Application Information
Cathay Pacific is an Equal Opportunities Employer. Personal data provided by job applicants will be used strictly in accordance with our personal data policy and for recruitment purposes only. Candidates not notified within eight weeks may consider their application unsuccessful. All related information will be kept in our file for up to 24 months. A copy of our Personal Information Collection Statement will be provided upon request by contacting our Data Protection Officer.
Please note that with effect from 1 June 2022 onwards, all Cathay employees and contractors who work in Cathay City and all other Cathay Group Company premises in Hong Kong must have received a third dose of COVID 19 vaccine.  Being tested regularly for COVID-19 is not an option. Consideration will be given to those who are unable to get vaccinated for valid medical reasons.",,,http://www.cathaypacific.com/careers,,"Full Time, Permanent","Transportation & Logistics, Aviation Services, Information Technology (IT), IT Auditing, Data Scientist",https://hk.jobsdb.com/hk/en/job/solution-analyst-icc-data-integration-100003009910622?jobId=jobsdb-hk-job-100003009910622&sectionRank=4&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Analyst Programmer (Data Analytics),salary,China State Construction Engineering (Hong Kong) Limited,2022-12-06,district,"Job Description:
Establish and maintain high-efficiency and high-quality in-house software development and AI project implementation process and standard
Working knowledge of SQL Server, Create Power BI (PBI) Dashboards & Reports
Develop reference modules and programs for facilitating the adoption of big data analytics
Enhance and maintain the theme pages for big data analytics platform and data sharing infrastructure
Reveal and uncover insights by exploring and mining structured and unstructured data
Apply analytical methods and algorithms to build data products that generate business insights and improve operational efficiency
Job Requirements:
University degree holder or above in relevant field (Computer Science, Software Engineering, Data Mining, Machine Learning)
Over 3 years of experience in data analyze and programming
Experience in Business Intelligence Visualization Techniques like PowerBI and DataV
Knowledge in ETL processing and methodologies
Good knowledge in development with Python OR C#.NET OR JAVA OR ReactJS, VueJS, AngularJS
Hands-on experience on Oracle, MSSQL, MySQL Server, Greenplum with GIS database administration and optimization
Experience in big data analytics and AI projects is a big plus
Strong analytical and problem-solving skills, self-motivated and able to work under pressure
Able to communicate effectively with both technical and business audience in Mandarin Chinese and English
We offer attractive remuneration package with comprehensive fringe benefits to the right candidates. Interested parties please send resume with day-time contact number, expected salary and quoting Ref. No. to Human Resources Manager, 29/F., China Overseas Building, 139 Hennessy Road, Wanchai, Hong Kong or e-mail or fax to 2528 2840.

Interested parties are invited to visit our website (www.cohl.com) for more information.

Applicants who are not invited within 2 months may consider their applications unsuccessful. All information provided by applicants will be treated in strict confidence and used only for recruitment purposes. Applicants may be considered for other suitable positions within the China Overseas Group and its related companies for one-year period, thereafter which their personal data will be destroyed.

Serving The Community 。 Prospering Hong Kong",Entry Level,3 years,https://www.cscechk.com/en/,Degree,"Full Time, Permanent","Information Technology (IT), DBA, Others, Data Scientist",https://hk.jobsdb.com/hk/en/job/analyst-programmer-data-analytics-100003009910930?jobId=jobsdb-hk-job-100003009910930&sectionRank=5&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Business Intelligence Analyst,salary,Bureau Veritas Hong Kong Limited,2022-12-06,Kowloon Bay," Responsibilities:
Build dashboards to support different business need and provide value-added insights
Work with business users to understand report use cases and user requirements
Documentation of technical specs and requirements
Data model design and development
Work with IT team to ensure smooth ETL flow from end to end
Ad hoc analysis to support management team
Troubleshoot for daily BI issues and access right problems
Job Requirements:
Bachelor's degree in Computer Science, Statistics, Mathematics, Data Science or related disciplines
Minimum 5 years of experience in related fields
Strong Tableau skills and knowledge
Good SQL Skills
Proficiency in data modeling tools (Python, R…) is big advantage
Good MS Office/Outlook knowledge, Strong Excel Skills
Proficient writing skills in English
Fluent speaking Cantonese and English, Mandarin is a plus
Strong sense of numbers and analytic skill
Self-motivating team player with good interpersonal skill
We offer competitive salary and benefits to the right candidate.  Interested parties please send your application with date of availability, present & expected salary to the Human Resources Department, Bureau Veritas Hong Kong Limited by mail or clicking “APPLY NOW”.  To submit your application by mail, please mark ""Confidential"" and position applied on the envelope.
Our Benefits:
Excellent Training & Career Advancement Opportunities
Double Pay, Performance Bonus
5-day Work Week
Public Holiday, Annual Leave, Marriage Leave, Maternity Leave & Paternity Leave
Life & Medical Insurance Benefits
Mandatory Provident Fund Contribution
Education & Training Subsidies
Join us on Linkedin:  https://www.linkedin.com/company/bureau-veritas
Mail 
7/F, Harbourside HQ
8 Lam Chak Street
Kowloon Bay, Kowloon

Personal data collected will be used for recruitment purposes only.",Middle,5 years,,Degree,"Full Time, Permanent","Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/business-intelligence-analyst-100003009912526?jobId=jobsdb-hk-job-100003009912526&sectionRank=6&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Data Integration Engineer (Data & AI),salary,NCSI (HK) Limited,2022-12-06,Tai Koo,"Key Role Responsibilities:

Drive Data & AI offerings in the market, effectively positioning those offerings with sales teams and target clients.
Participate in client working sessions to discover and understand business strategy and objectives, Data & AI landscape, challenges, and prioritize & refine use cases.
Working with Solution Architects in other parts of NCS and our Data & AI partners to design the latest Data & AI offerings and produce technical proposals.
As a Team Member to deliver Data Integration, Data Modelling and Modern Data Platform projects for clients.


Skill & Capability Requirements:

Passionate about the development and delivery of Data & AI solutions
Egar to learn and develop capabilities in Data & AI domain
3-5 years of experiences in data integration, data architecture, data platfrom, data governance delivery
Hands-on experience on ETL and data modelling
Knowledge in one or more Data & AI tools available in Market, e.g. Azure Data Factory, Azure Synapse, Cloudera, Databricks, Informatica, Boomi, Python, etc
Communication and presentation skills
Participate in the pursuit of engagements, maintaining the relationship through the delivery phase resulting in repeat client business
Bachelor’s degree in Computer Science, Computer Engineering, Information System, Business or other relevant fields, or an equivalent combination of education and relevant experience
Consulting experience would be an advantage but not essential",,,http://www.ncs-i.com,,"Full Time, Permanent","Information Technology (IT), Product Management / Business Analyst, Technical / Functional Consulting, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-integration-engineer-data-ai-100003009913328?jobId=jobsdb-hk-job-100003009913328&sectionRank=8&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Data Scientist [Python & Cloud project],salary,Peoplehub Limited,2022-12-06,district,"Responsibilities:
Establish and maintain high-efficiency and high-quality in-house software development
Develop NEW BI technology and architecture including data warehouse, dimensional modelling, data mining and reporting tools
Perform and implement business performance reporting, dashboard building and financial data analyst
Develop and maintain BI system documentation
Support ad-hoc requests for data analysis or reporting
Requirements: 

Bachelor’s Degree in Science/Technology/Engineering/Mathematics or any other relevant field of studies
Experience in Python and open-source ML libraries
At least 3 years of experience in business intelligence/ visualization/ data analytics
Strong communication (Cantonese and English, with Putonghua an advantage)
Positive thinking and proactive to communicate with others and keen to learn and drive to deliver results
Good team player striving for team success and win-win results
For interested parties, please send your full resume to cv@ peoplehub.hk
Personal data will be treated with strict confidential and used for recruitment purpose only

Ref.: Python, ETL, Data, ML, Business Intelligence, Power BI",,,https://www.peoplehub.hk/,,"Full Time, Permanent","Information Technology (IT), Application Specialist - Software, Software Development, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-scientist-%5Bpython-cloud-project%5D-100003009913585?jobId=jobsdb-hk-job-100003009913585&sectionRank=9&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Senior Associate (Data Analyst) – Risk Advisory Services,salary,BDO,2022-12-06,Sheung Wan,"Responsibilities:
Collect data, build and maintain data pipelines, conduct data exploration and transfer data into valuable business insights
Analyze structured and unstructured data and visualize findings
Responsible for valid data analyzing process including data extraction, manipulation, processing, storage and archive
Assist ad hoc projects and perform other duties as assigned
 Requirements:
Degree in Data Science, Business Analysis Statistics, Information Technology or related discipline
2+ year of relevant experience in data analysis
Proficiency in VBA and SQL; Knowledge in Python, Tableau, Power BI, google analytics are preferable
Detail minded with strong analytical skills, presentation, interpersonal, communication and problem-solving skills
Ability to work under pressure and tight deadline
A team player with good communication skills
Good command of both written and spoken English and Chinese; including Mandarin
We are an equal opportunity employer, and offer excellent prospects and career development for the right candidate.  Interested parties please send your application with full career history, current and expected salary by clicking the Apply Now button below.
Applications will be treated in strict confidence. Personal data collected will be used for recruitment purposes only.",Middle,2 years,http://www.bdo.com.hk,Degree,"Full Time, Permanent","Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/senior-associate-data-analyst-risk-advisory-services-100003009913383?jobId=jobsdb-hk-job-100003009913383&sectionRank=10&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Data Engineer,salary,Orient Overseas Container Line Ltd (OOCL),2022-12-06,Shatin Area,"Job Description
Responsible for design, development and maintenance of Data Management Solution for Analytics, including Data Lake, Data Warehouse and customized data pipelines
Work out the conceptual model, data model and perform information gathering, and data aggregation as to support analytics and data science use cases
Coordinate with different parties to complete analytics and data science use cases
Evaluate and recommend the technical solutions, including software tools and technologies; design and develop architecture and application as to present the analysis result
Requirements
University Graduate in Computer Science or related disciplines
At least 3-5 years’ working experience on Enterprise application development with supervisory exposure in software development
Interest in data management, data analysis and analytics/business intelligence
Familiar with SQL, Spark, Scala, Python, Spotfire
Story telling experience in analytics/business intelligence area is an advantage.
A good team player with sound analytical and problem solving skills, willing to take challenges 
Good interpersonal, presentation and communication skills
Good command of spoken and written English and Chinese 
Interested parties, please submit your application letter together with detailed resume and copies of your latest transcript by clicking “Apply Now”.

OOCL is an Equal Opportunity Employer. OOCL will retain the personal data of applicants/ unsuccessful applicants for future recruitment purpose for a period of six months. All personal data will be destroyed immediately right after the abovesaid period.",Middle,2 years,http://www.oocl.com,Degree,"Full Time, Permanent","Information Technology (IT), Application Specialist - Software, DBA, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-engineer-100003009912959?jobId=jobsdb-hk-job-100003009912959&sectionRank=12&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
