Period ,Labour force  No. (‘000),Labour force Percentage change over the same period in preceding year (%),Unemployed ('000),Unemployment rate (seasonally adjusted) (%) ,Unemployment rate (not seasonally adjusted) (%) ,Underemployed ('000),Underemployment rate (%) 
1982,2498.1,N.A.,91.0,-,3.6,N.A.,N.A.
1983,2540.5,1.7,113.8,-,4.5,47.2,1.9
1984,2606.2,2.6,101.0,-,3.9,27.7,1.1
1985,2626.9,0.8,83.6,-,3.2,49.4,1.9
1986,2699.7,2.8,76.1,-,2.8,45.6,1.7
1987,2728.2,1.1,47.4,-,1.7,27.5,1.0
1988,2762.8,1.3,37.7,-,1.4,19.4,0.7
1989,2752.8,-0.4,29.7,-,1.1,20.9,0.8
1990,2748.1,-0.2,36.6,-,1.3,23.4,0.9
1991,2804.1,2.0,50.4,-,1.8,44.6,1.6
1992,2792.3,-0.4,54.7,-,2.0,58.3,2.1
1993,2856.4,2.3,56.3,-,2.0,45.9,1.6
1994,2929.0,2.5,56.2,-,1.9,41.4,1.4
1995,3000.7,2.4,95.6,-,3.2,62.8,2.1
1996 @,3160.8,3.1,87.4,-,2.8,52.0,1.6
1997,3234.8,2.3,71.2,-,2.2,37.1,1.1
1998,3276.1,1.3,154.1,-,4.7,81.8,2.5
1999,3319.6,1.3,207.5,-,6.2,96.9,2.9
2000,3374.2,1.6,166.9,-,4.9,93.5,2.8
2001,3427.3,1.6,174.3,-,5.1,84.8,2.5
2002,3472.6,1.3,254.2,-,7.3,104.4,3.0
2003,3465.8,-0.2,275.2,-,7.9,121.9,3.5
2004,3512.8,1.4,239.2,-,6.8,114.3,3.3
2005,3534.2,0.6,197.6,-,5.6,96.3,2.7
2006,3571.8,1.1,171.1,-,4.8,86.3,2.4
2007,3622.3,1.4,145.3,-,4.0,79.4,2.2
2008,3637.2,0.4,128.0,-,3.5,67.9,1.9
2009,3660.3,0.6,192.6,-,5.3,83.8,2.3
2010,3631.3,-0.8,157.2,-,4.3,72.5,2.0
2011,3703.1,2.0,126.7,-,3.4,63.3,1.7
2012,3782.2,2.1,124.3,-,3.3,57.2,1.5
2013,3855.1,1.9,131.1,-,3.4,58.3,1.5
2014,3871.1,0.4,127.6,-,3.3,56.8,1.5
2015,3903.2,0.8,129.4,-,3.3,53.3,1.4
2016,3920.1,0.4,133.0,-,3.4,54.7,1.4
2017,3946.6,0.7,123.4,-,3.1,45.6,1.2
2018,3979.0,0.8,112.0,-,2.8,43.2,1.1
8/1981 - 10/1981,2501.5,N.A,93.8,3.4,3.7,N.A,N.A
9/1981 - 11/1981,2479.1,N.A,86.8,3.2,3.5,N.A,N.A
10/1981 - 12/1981,2489.4,N.A,78.3,3.1,3.1,N.A,N.A
11/1981 - 1/1982,2479.8,N.A,73.8,3.1,3.0,N.A,N.A
12/1981 - 2/1982,2474.0,N.A,74.5,3.1,3.0,N.A,N.A
1/1982 - 3/1982,2483.3,N.A,81.4,3.2,3.3,N.A,N.A
2/1982 - 4/1982,2480.4,N.A,80.5,3.2,3.2,N.A,N.A
3/1982 - 5/1982,2480.0,N.A,76.6,3.3,3.1,N.A,N.A
4/1982 - 6/1982,2485.3,N.A,78.8,3.4,3.2,N.A,N.A
5/1982 - 7/1982,2487.6,N.A,85.8,3.6,3.4,N.A,N.A
6/1982 - 8/1982,2511.7,N.A,95.6,3.7,3.8,N.A,N.A
