serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAQHRSETQ,2017-06-08,MARGARITAS CAFE,93,A,1,ROUTINE INSPECTION,EE0000006,5026 S CRENSHAW BLVD,LOS ANGELES,FA0023656,CA,90043,OW0004133,"BAZAN, ASCENCION",RESTAURANT (61-150) SEATS HIGH RISK,1638,MARGARITAS CAFE,ACTIVE,PR0011718
DA2GQRJOS,2017-03-07,LAS MOLENDERAS,97,A,1,ROUTINE INSPECTION,EE0000997,2635 WHITTIER BLVD,LOS ANGELES,FA0160416,CA,90023,OW0125379,MARISOL FEREGRINO,RESTAURANT (0-30) SEATS HIGH RISK,1632,LAS MOLENDERAS,INACTIVE,PR0148504
DAMQTA46T,2016-03-22,SANDRA'S TAMALES,93,A,1,ROUTINE INSPECTION,EE0001049,5390 WHITTIER BLVD,LOS ANGELES,FA0171769,CA,90022-4032,OW0178828,SANDRA'S TAMALES INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,SANDRA'S TAMALES,ACTIVE,PR0164225
DAXMBTIRZ,2018-02-12,CAFE GRATITUDE,97,A,1,ROUTINE INSPECTION,EE0000828,639 N LARCHMONT BLVD STE #102,LOS ANGELES,FA0058921,CA,90004,OW0005704,CAFE GRATITUDE LARCHMONT LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,CAFE GRATITUDE,ACTIVE,PR0019854
DAK8TBMS0,2015-09-10,THE WAFFLE,90,A,1,ROUTINE INSPECTION,EE0000709,6255 W SUNSET BLVD STE #105,LOS ANGELES,FA0051830,CA,90028,OW0035796,"THE WAFFLE, LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,THE WAFFLE,ACTIVE,PR0010922
DAQZAULOI,2017-10-11,INTI PERUVIAN RESTAURANT,94,A,1,ROUTINE INSPECTION,EE0000828,5870 MELROSE AVE # #105,LOS ANGELES,FA0030334,CA,90038,OW0023369,MARIN & MARTINEZ GROUP CORP.,RESTAURANT (31-60) SEATS HIGH RISK,1635,INTI PERUVIAN RESTAURANT,INACTIVE,PR0043182
DAD0XX0IG,2017-07-14,WOLFGANG PUCK EXPRESS,95,A,1,ROUTINE INSPECTION,EE0000117,308 WESTWOOD PLZ # 1390L,LOS ANGELES,FA0138414,CA,90024,OW0101772,UCLAWP LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,WOLFGANG PUCK EXPRESS,ACTIVE,PR0122727
DAAHVVCMT,2016-11-02,IN N OUT DAILY MARKET,94,A,1,ROUTINE INSPECTION,EE0000740,5048 HUNTINGTON DR S,LOS ANGELES,FA0175610,CA,90032,OW0182143,EMME LAN P. DIEU,RESTAURANT (0-30) SEATS MODERATE RISK,1631,IN N OUT DAILY MARKET,ACTIVE,PR0168775
DAH840R2I,2016-06-30,CHOI'S MARKET,99,A,1,ROUTINE INSPECTION,EE0000740,1828 N BROADWAY,LOS ANGELES,FA0160457,CA,90031,OW0125421,YOUNG YOON,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,CHOI'S MARKET,ACTIVE,PR0148548
DAXJPOD1H,2017-01-04,LENTO MARKET LLC,98,A,1,ROUTINE INSPECTION,EE0000360,1288 W SUNSET BLVD,LOS ANGELES,FA0239946,CA,90026,OW0236134,LENTO MARKET LLC,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,LENTO MARKET LLC,ACTIVE,PR0187951
DAMHFWY2G,2016-04-05,SOPITA RAMEN,90,A,1,ROUTINE INSPECTION,EE0000884,3087 W PICO BLVD STE 9,LOS ANGELES,FA0167850,CA,90006,OW0130819,KIBOMI INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,SOPITA RAMEN,ACTIVE,PR0158271
DA0919122,2017-08-10,PRINCIPIO MERCADO Y CARNICERIA,91,A,1,ROUTINE INSPECTION,EE0000721,2630 MAPLE AVE,LOS ANGELES,FA0172138,CA,90011,OW0179186,CARLOS MIGUEL GONZALEZ,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,PRINCIPIO MERCADO Y CARNICERIA,ACTIVE,PR0164655
DAX2ZPD4B,2018-03-08,EL POLLO LOCO #3301,94,A,1,ROUTINE INSPECTION,EE0001048,1833 S LA CIENEGA BLVD,LOS ANGELES,FA0021252,CA,90035,OW0028128,"PEG/LION, LLC",RESTAURANT (31-60) SEATS HIGH RISK,1635,EL POLLO LOCO #3301,ACTIVE,PR0029282
DAUOR00BP,2015-12-16,MARISCOS SAN MIGUEL ARCANGEL,91,A,1,ROUTINE INSPECTION,EE0000721,2614 S MAPLE AVE,LOS ANGELES,FA0136736,CA,90011-1432,OW0099393,"PONCE, JUAN CARLOS",RESTAURANT (0-30) SEATS HIGH RISK,1632,MARISCOS SAN MIGUEL ARCANGEL,ACTIVE,PR0119954
DALUB7708,2017-11-06,PLAYA DORA,91,A,1,ROUTINE INSPECTION,EE0000729,10522 S VERMONT AVE,LOS ANGELES,FA0178503,CA,90044,OW0184237,NIDIA L ALDANA,RESTAURANT (0-30) SEATS HIGH RISK,1632,PLAYA DORA,ACTIVE,PR0171943
DAGPKIQAN,2017-02-14,PLAN CHECK,98,A,1,ROUTINE INSPECTION,EE0000721,1111 WILSHIRE BLVD,LOS ANGELES,FA0164576,CA,90017,OW0127912,PLAN CHECK DOWNTOWN III LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,PLAN CHECK,ACTIVE,PR0152855
DAE9A7CVY,2016-07-01,LOCALI,100,A,1,ROUTINE INSPECTION,EE0000894,701 LINCOLN BLVD,LOS ANGELES,FA0159783,CA,90291,OW0124783,BE MY GUEST INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LOCALI,ACTIVE,PR0147848
DA3XQJLEH,2017-06-06,KIM HUNG BAKERY,96,A,1,ROUTINE INSPECTION,EE0000740,959 N BROADWAY,LOS ANGELES,FA0020047,CA,90012,OW0037257,"VAN QUANG, NAM",RESTAURANT (0-30) SEATS MODERATE RISK,1631,KIM HUNG BAKERY,ACTIVE,PR0001097
DAC0N7TC7,2017-01-12,VINCENTE FOODS-MARKET,93,A,1,ROUTINE INSPECTION,EE0000727,12027 SAN VICENTE BLVD,LOS ANGELES,FA0039887,CA,90049,OW0001712,"ADAMS,ESTHER&LAZAR BERNAHARD","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,VINCENTE FOODS-MARKET,ACTIVE,PR0015454
DA990YCAE,2016-12-06,GWEN,97,A,1,ROUTINE INSPECTION,EE0000822,6600 SUNSET BLVD,LOS ANGELES,FA0225449,CA,90028-7160,OW0229713,"9 STONES, LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,GWEN,ACTIVE,PR0180771
DAVGGBQNJ,2017-01-19,OAXACALIFORNIA,98,A,1,ROUTINE INSPECTION,EE0000707,3655 S GRAND AVE STE C-8,LOS ANGELES,FA0042299,CA,90007,OW0002812,"ANTONIO, JUAN",RESTAURANT (0-30) SEATS MODERATE RISK,1631,OAXACALIFORNIA,ACTIVE,PR0031684
DA0N7AWN0,2016-09-21,MICHELLE'S DONUT HOUSE,96,A,1,ROUTINE INSPECTION,EE0000798,3783 S WESTERN AVE,LOS ANGELES,FA0039310,CA,90018,OW0032004,SCOTT VICHETH KHEM,RESTAURANT (0-30) SEATS MODERATE RISK,1631,MICHELLE'S DONUT HOUSE,INACTIVE,PR0031269
DA2M0ZPRD,2017-01-24,LA PRINCESITA MARKET,95,A,1,ROUTINE INSPECTION,EE0000997,2426 E 4TH ST,LOS ANGELES,FA0065292,CA,90063,OW0029496,RAMIREZ FRANCISCO,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,LA PRINCESITA MARKET,INACTIVE,PR0027280
DAIFCWL0I,2016-03-23,EL SABROSO,90,A,1,ROUTINE INSPECTION,EE0000557,501 N BRANNICK AVE,LOS ANGELES,FA0061598,CA,90063,OW0013584,"GOMEZ, ELIGIO",RESTAURANT (0-30) SEATS MODERATE RISK,1631,EL SABROSO,ACTIVE,PR0022052
DAQPM7CQK,2016-05-26,ONO HAWAIIAN BBQ,96,A,1,ROUTINE INSPECTION,EE0000853,5550 WILSHIRE BLVD STE 101C,LOS ANGELES,FA0067962,CA,90036,OW0020257,"L.A. SUNSET, LLC",RESTAURANT (31-60) SEATS HIGH RISK,1635,ONO HAWAIIAN BBQ,ACTIVE,PR0045111
DAQPMMVK2,2017-07-25,FOOD 4 LESS #766,95,A,1,ROUTINE INSPECTION,EE0000923,5100 N FIGUEROA ST,LOS ANGELES,FA0023433,CA,90042,OW0012108,"FOOD 4 LESS, INC.","FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,FOOD 4 LESS #766 - MEAT DEPT,ACTIVE,PR0032487
